date,tenor,side,rate
1992-04-22,1D,PRIBID,5.56
1992-04-22,1D,PRIBOR,7.19
1992-04-22,1M,PRIBID,8.0
1992-04-22,1M,PRIBOR,9.75
1992-04-22,1W,PRIBID,6.94
1992-04-22,1W,PRIBOR,8.56
1992-04-22,2W,PRIBOR,8.63
1992-04-22,3M,PRIBID,8.69
1992-04-22,3M,PRIBOR,10.44
1992-04-22,6M,PRIBID,9.38
1992-04-22,6M,PRIBOR,11.38
1992-04-22,9M,PRIBID,11.5
1992-04-22,9M,PRIBOR,13.5
1992-04-23,1D,PRIBID,5.5
1992-04-23,1D,PRIBOR,7.31
1992-04-23,1M,PRIBID,7.44
1992-04-23,1M,PRIBOR,9.44
1992-04-23,1W,PRIBID,6.31
1992-04-23,1W,PRIBOR,8.0
1992-04-23,2W,PRIBOR,8.13
1992-04-23,3M,PRIBID,8.44
1992-04-23,3M,PRIBOR,10.44
1992-04-23,6M,PRIBID,9.81
1992-04-23,6M,PRIBOR,11.94
1992-04-23,9M,PRIBID,12.0
1992-04-23,9M,PRIBOR,14.0
1992-04-24,1D,PRIBID,4.5
1992-04-24,1D,PRIBOR,6.5
1992-04-24,1M,PRIBID,7.06
1992-04-24,1M,PRIBOR,8.75
1992-04-24,1W,PRIBID,5.25
1992-04-24,1W,PRIBOR,7.13
1992-04-24,2W,PRIBID,5.5
1992-04-24,2W,PRIBOR,7.44
1992-04-24,3M,PRIBID,7.38
1992-04-24,3M,PRIBOR,9.63
1992-04-24,6M,PRIBOR,10.69
1992-04-27,1D,PRIBID,4.0
1992-04-27,1D,PRIBOR,5.63
1992-04-27,1M,PRIBID,7.5
1992-04-27,1M,PRIBOR,8.88
1992-04-27,1W,PRIBID,5.38
1992-04-27,1W,PRIBOR,7.0
1992-04-27,2W,PRIBID,6.0
1992-04-27,2W,PRIBOR,7.5
1992-04-27,3M,PRIBID,8.38
1992-04-27,3M,PRIBOR,10.13
1992-04-27,6M,PRIBID,9.5
1992-04-27,6M,PRIBOR,11.31
1992-04-27,9M,PRIBID,11.13
1992-04-27,9M,PRIBOR,13.38
1992-04-28,1D,PRIBID,4.13
1992-04-28,1D,PRIBOR,5.69
1992-04-28,1M,PRIBID,7.0
1992-04-28,1M,PRIBOR,8.69
1992-04-28,1W,PRIBID,5.19
1992-04-28,1W,PRIBOR,6.94
1992-04-28,2W,PRIBOR,7.13
1992-04-28,3M,PRIBID,7.81
1992-04-28,3M,PRIBOR,9.88
1992-04-28,6M,PRIBID,9.5
1992-04-28,6M,PRIBOR,11.25
1992-04-28,9M,PRIBID,11.75
1992-04-28,9M,PRIBOR,13.75
1992-04-29,1D,PRIBID,4.5
1992-04-29,1D,PRIBOR,6.5
1992-04-29,1M,PRIBID,7.31
1992-04-29,1M,PRIBOR,9.25
1992-04-29,1W,PRIBID,5.31
1992-04-29,1W,PRIBOR,7.25
1992-04-29,2W,PRIBID,5.88
1992-04-29,2W,PRIBOR,7.56
1992-04-29,3M,PRIBID,8.56
1992-04-29,3M,PRIBOR,10.44
1992-04-29,6M,PRIBID,9.63
1992-04-29,6M,PRIBOR,11.56
1992-04-29,9M,PRIBID,11.13
1992-04-29,9M,PRIBOR,13.13
1992-04-30,1D,PRIBID,5.0
1992-04-30,1D,PRIBOR,6.63
1992-04-30,1M,PRIBID,6.88
1992-04-30,1M,PRIBOR,8.69
1992-04-30,1W,PRIBID,5.81
1992-04-30,1W,PRIBOR,7.31
1992-04-30,2W,PRIBID,5.94
1992-04-30,2W,PRIBOR,7.56
1992-04-30,3M,PRIBID,8.25
1992-04-30,3M,PRIBOR,10.13
1992-04-30,6M,PRIBOR,12.13
1992-04-30,9M,PRIBID,11.75
1992-04-30,9M,PRIBOR,13.5
1992-05-04,1D,PRIBID,5.13
1992-05-04,1D,PRIBOR,6.63
1992-05-04,1M,PRIBID,7.88
1992-05-04,1M,PRIBOR,9.38
1992-05-04,1W,PRIBID,6.38
1992-05-04,1W,PRIBOR,7.88
1992-05-04,2W,PRIBID,6.94
1992-05-04,2W,PRIBOR,8.5
1992-05-04,3M,PRIBID,8.94
1992-05-04,3M,PRIBOR,10.44
1992-05-04,6M,PRIBID,9.88
1992-05-04,6M,PRIBOR,11.25
1992-05-05,1D,PRIBID,5.0
1992-05-05,1D,PRIBOR,6.88
1992-05-05,1M,PRIBID,7.88
1992-05-05,1M,PRIBOR,9.5
1992-05-05,1W,PRIBID,6.19
1992-05-05,1W,PRIBOR,7.81
1992-05-05,2W,PRIBID,6.19
1992-05-05,2W,PRIBOR,8.06
1992-05-05,3M,PRIBID,8.5
1992-05-05,3M,PRIBOR,10.44
1992-05-05,6M,PRIBID,9.69
1992-05-05,6M,PRIBOR,11.38
1992-05-06,1D,PRIBID,5.25
1992-05-06,1D,PRIBOR,7.19
1992-05-06,1M,PRIBID,7.44
1992-05-06,1M,PRIBOR,9.19
1992-05-06,1W,PRIBID,6.31
1992-05-06,1W,PRIBOR,7.88
1992-05-06,2W,PRIBID,6.56
1992-05-06,2W,PRIBOR,8.44
1992-05-06,3M,PRIBID,9.0
1992-05-06,3M,PRIBOR,10.63
1992-05-06,6M,PRIBID,10.5
1992-05-06,6M,PRIBOR,11.94
1992-05-06,9M,PRIBID,12.5
1992-05-06,9M,PRIBOR,14.5
1992-05-07,1D,PRIBID,5.5
1992-05-07,1D,PRIBOR,7.38
1992-05-07,1M,PRIBID,7.38
1992-05-07,1M,PRIBOR,9.25
1992-05-07,1W,PRIBID,6.44
1992-05-07,1W,PRIBOR,8.0
1992-05-07,2W,PRIBID,6.75
1992-05-07,2W,PRIBOR,8.38
1992-05-07,3M,PRIBID,8.88
1992-05-07,3M,PRIBOR,10.56
1992-05-07,6M,PRIBID,10.5
1992-05-07,6M,PRIBOR,12.06
1992-05-07,9M,PRIBID,12.5
1992-05-07,9M,PRIBOR,14.5
1992-05-11,1D,PRIBID,5.5
1992-05-11,1D,PRIBOR,7.63
1992-05-11,1M,PRIBID,7.88
1992-05-11,1M,PRIBOR,9.44
1992-05-11,1W,PRIBID,6.25
1992-05-11,1W,PRIBOR,7.88
1992-05-11,2W,PRIBOR,8.44
1992-05-11,3M,PRIBID,9.0
1992-05-11,3M,PRIBOR,10.63
1992-05-11,6M,PRIBID,10.5
1992-05-11,6M,PRIBOR,12.0
1992-05-11,9M,PRIBID,11.5
1992-05-11,9M,PRIBOR,13.5
1992-05-12,1D,PRIBID,5.75
1992-05-12,1D,PRIBOR,7.75
1992-05-12,1M,PRIBID,8.38
1992-05-12,1M,PRIBOR,10.25
1992-05-12,1W,PRIBID,6.81
1992-05-12,1W,PRIBOR,8.69
1992-05-12,2W,PRIBID,7.31
1992-05-12,2W,PRIBOR,9.19
1992-05-12,3M,PRIBID,9.5
1992-05-12,3M,PRIBOR,11.38
1992-05-12,6M,PRIBID,10.38
1992-05-12,6M,PRIBOR,12.25
1992-05-13,1D,PRIBID,5.63
1992-05-13,1D,PRIBOR,7.69
1992-05-13,1M,PRIBID,8.63
1992-05-13,1M,PRIBOR,10.44
1992-05-13,1W,PRIBID,6.5
1992-05-13,1W,PRIBOR,8.38
1992-05-13,2W,PRIBID,6.88
1992-05-13,2W,PRIBOR,8.81
1992-05-13,3M,PRIBID,9.56
1992-05-13,3M,PRIBOR,11.44
1992-05-13,6M,PRIBID,10.56
1992-05-13,6M,PRIBOR,12.31
1992-05-13,9M,PRIBID,11.5
1992-05-13,9M,PRIBOR,14.5
1992-05-14,1D,PRIBID,5.63
1992-05-14,1D,PRIBOR,7.69
1992-05-14,1M,PRIBID,8.44
1992-05-14,1M,PRIBOR,10.19
1992-05-14,1W,PRIBID,6.5
1992-05-14,1W,PRIBOR,8.38
1992-05-14,2W,PRIBID,7.0
1992-05-14,2W,PRIBOR,8.88
1992-05-14,3M,PRIBID,9.25
1992-05-14,3M,PRIBOR,10.99
1992-05-14,6M,PRIBID,10.56
1992-05-14,6M,PRIBOR,12.25
1992-05-14,9M,PRIBID,11.5
1992-05-14,9M,PRIBOR,14.5
1992-05-15,1D,PRIBID,5.19
1992-05-15,1D,PRIBOR,7.31
1992-05-15,1M,PRIBID,8.69
1992-05-15,1M,PRIBOR,10.25
1992-05-15,1W,PRIBID,6.25
1992-05-15,1W,PRIBOR,8.0
1992-05-15,2W,PRIBID,6.5
1992-05-15,2W,PRIBOR,8.63
1992-05-15,3M,PRIBID,9.56
1992-05-15,3M,PRIBOR,11.25
1992-05-15,6M,PRIBID,10.69
1992-05-15,6M,PRIBOR,12.0
1992-05-15,9M,PRIBID,10.5
1992-05-15,9M,PRIBOR,13.0
1992-05-18,1D,PRIBID,5.25
1992-05-18,1D,PRIBOR,7.13
1992-05-18,1M,PRIBID,8.56
1992-05-18,1M,PRIBOR,10.06
1992-05-18,1W,PRIBID,6.69
1992-05-18,1W,PRIBOR,8.0
1992-05-18,2W,PRIBID,7.25
1992-05-18,2W,PRIBOR,8.63
1992-05-18,3M,PRIBID,9.5
1992-05-18,3M,PRIBOR,11.19
1992-05-18,6M,PRIBID,10.44
1992-05-18,6M,PRIBOR,12.19
1992-05-18,9M,PRIBID,10.5
1992-05-18,9M,PRIBOR,13.0
1992-05-19,1D,PRIBID,4.88
1992-05-19,1D,PRIBOR,6.44
1992-05-19,1M,PRIBID,8.06
1992-05-19,1M,PRIBOR,9.56
1992-05-19,1W,PRIBID,6.44
1992-05-19,1W,PRIBOR,7.75
1992-05-19,2W,PRIBID,6.94
1992-05-19,2W,PRIBOR,8.06
1992-05-19,3M,PRIBID,9.5
1992-05-19,3M,PRIBOR,11.13
1992-05-19,6M,PRIBID,10.38
1992-05-19,6M,PRIBOR,12.13
1992-05-19,9M,PRIBID,10.75
1992-05-19,9M,PRIBOR,13.0
1992-05-20,1D,PRIBID,4.94
1992-05-20,1D,PRIBOR,6.69
1992-05-20,1M,PRIBID,8.25
1992-05-20,1M,PRIBOR,9.63
1992-05-20,1W,PRIBID,6.5
1992-05-20,1W,PRIBOR,7.56
1992-05-20,2W,PRIBID,7.06
1992-05-20,2W,PRIBOR,8.06
1992-05-20,3M,PRIBID,9.38
1992-05-20,3M,PRIBOR,10.81
1992-05-20,6M,PRIBID,10.38
1992-05-20,6M,PRIBOR,11.94
1992-05-20,9M,PRIBID,11.19
1992-05-20,9M,PRIBOR,13.25
1992-05-21,1D,PRIBID,5.0
1992-05-21,1D,PRIBOR,6.75
1992-05-21,1M,PRIBID,8.5
1992-05-21,1M,PRIBOR,9.88
1992-05-21,1W,PRIBID,6.56
1992-05-21,1W,PRIBOR,7.63
1992-05-21,2W,PRIBID,6.94
1992-05-21,2W,PRIBOR,8.0
1992-05-21,3M,PRIBID,9.56
1992-05-21,3M,PRIBOR,10.94
1992-05-21,6M,PRIBID,10.38
1992-05-21,6M,PRIBOR,11.94
1992-05-21,9M,PRIBID,10.5
1992-05-21,9M,PRIBOR,13.0
1992-05-22,1D,PRIBID,5.56
1992-05-22,1D,PRIBOR,7.06
1992-05-22,1M,PRIBID,8.13
1992-05-22,1M,PRIBOR,9.88
1992-05-22,1W,PRIBID,6.56
1992-05-22,1W,PRIBOR,8.06
1992-05-22,2W,PRIBID,7.06
1992-05-22,2W,PRIBOR,8.13
1992-05-22,3M,PRIBID,9.56
1992-05-22,3M,PRIBOR,11.44
1992-05-22,6M,PRIBID,10.44
1992-05-22,6M,PRIBOR,12.31
1992-05-22,9M,PRIBID,11.25
1992-05-22,9M,PRIBOR,13.63
1992-05-25,1D,PRIBID,4.5
1992-05-25,1D,PRIBOR,6.44
1992-05-25,1M,PRIBID,8.13
1992-05-25,1M,PRIBOR,9.81
1992-05-25,1W,PRIBID,5.88
1992-05-25,1W,PRIBOR,7.69
1992-05-25,2W,PRIBID,6.94
1992-05-25,2W,PRIBOR,8.06
1992-05-25,3M,PRIBID,9.25
1992-05-25,3M,PRIBOR,11.06
1992-05-25,6M,PRIBID,10.38
1992-05-25,6M,PRIBOR,12.25
1992-05-25,9M,PRIBID,11.25
1992-05-25,9M,PRIBOR,13.63
1992-05-26,1D,PRIBID,3.06
1992-05-26,1D,PRIBOR,5.38
1992-05-26,1M,PRIBID,7.31
1992-05-26,1M,PRIBOR,8.88
1992-05-26,1W,PRIBID,5.0
1992-05-26,1W,PRIBOR,6.5
1992-05-26,2W,PRIBID,5.75
1992-05-26,2W,PRIBOR,7.19
1992-05-26,3M,PRIBID,9.19
1992-05-26,3M,PRIBOR,10.88
1992-05-26,6M,PRIBID,10.5
1992-05-26,6M,PRIBOR,12.06
1992-05-27,1D,PRIBID,2.88
1992-05-27,1D,PRIBOR,5.19
1992-05-27,1M,PRIBID,7.5
1992-05-27,1M,PRIBOR,9.19
1992-05-27,1W,PRIBID,4.38
1992-05-27,1W,PRIBOR,6.44
1992-05-27,2W,PRIBID,5.69
1992-05-27,2W,PRIBOR,7.25
